Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SampleSuite,Chrome 79.0.3945.130,,,2020-02-12 10:22:56,2020-02-12 10:23:08,12.308s,ERROR
,,,,,,,
Test Cases/TC01_VerifyMenus,Chrome 79.0.3945.130,,,2020-02-12 10:22:56,2020-02-12 10:23:08,11.536s,ERROR
Start setup action : setupTestCase,Chrome 79.0.3945.130,,,2020-02-12 10:22:56,2020-02-12 10:23:08,11.393s,ERROR
